,id,counts,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
116,993,3177803,831.0,Secondary motor area,MOs,8,1,3,8690,500.0,7,1,24,/997/8/567/688/695/315/500/993/,1F9D5A,,,f,25,1043755260,734881840,Secondary motor area
32,329,1874696,748.0,"Primary somatosensory area, barrel field",SSp-bfd,9,1,3,8690,322.0,8,1,51,/997/8/567/688/695/315/453/322/329/,188064,,,f,52,3406319794,734881840,Primary somatosensory area barrel field
43,378,1260936,754.0,Supplemental somatosensory area,SSs,8,1,3,8690,453.0,7,1,100,/997/8/567/688/695/315/453/378/,188064,,,f,101,713142416,734881840,Supplemental somatosensory area
58,485,1000321,343.0,Striatum dorsal region,STRd,6,1,3,8690,477.0,5,1,572,/997/8/567/623/477/485/,98D6F9,,,f,573,598493306,734881840,Striatum dorsal region
114,985,700075,830.0,Primary motor area,MOp,8,1,3,8690,500.0,7,1,18,/997/8/567/688/695/315/500/985/,1F9D5A,,,f,19,1852742012,734881840,Primary motor area
53,417,532416,759.0,Rostrolateral visual area,VISrl,8,1,3,8690,22.0,7,1,353,/997/8/567/688/695/315/22/417/,009FAC,,,f,354,1848950861,734881840,Rostrolateral visual area
26,294,495484,319.0,"Superior colliculus, motor related",SCm,8,1,3,8690,323.0,5,1,830,/997/8/343/313/323/294/,FF90FF,,,f,831,3666060048,734881840,Superior colliculus motor related
40,369,492914,753.0,"Primary somatosensory area, upper limb",SSp-ul,9,1,3,8690,322.0,8,1,79,/997/8/567/688/695/315/453/322/369/,188064,,,f,80,3184285306,734881840,Primary somatosensory area upper limb
63,541,369144,350.0,Temporal association areas,TEa,6,1,3,8690,315.0,6,1,360,/997/8/567/688/695/315/541/,15B0B3,,,f,361,2291994334,734881840,Temporal association areas
133,182305689,364886,,"Primary somatosensory area, unassigned",SSp-un,9,1,3,8690,322.0,8,1,93,/997/8/567/688/695/315/453/322/182305689/,188064,,,f,94,10092796,734881840,Primary somatosensory area unassigned
3,39,350464,4.0,"Anterior cingulate area, dorsal part",ACAd,9,1,3,8690,31.0,7,1,226,/997/8/567/688/695/315/31/39/,40A666,,,f,227,1697985147,734881840,Anterior cingulate area dorsal part
134,312782546,317544,,Anterior area,VISa,8,1,3,8690,22.0,7,1,346,/997/8/567/688/695/315/22/312782546/,009FAC,,,f,347,3402453642,734881840,Anterior area
